Year,Round,Circuit,TeamName,DriverA,DriverB,Quali_Delta,Grid_Delta,Points_Delta,Experience_Delta,FavoriteTrackAdvantage,TrackType,Target
2021,17,Austin,McLaren,NOR,RIC,1.0,1.0,50.0,0,-3.5,permanent,0
2021,17,Austin,Mercedes,HAM,BOT,-2.0,-7.0,93.0,0,-4.0,permanent,1
2021,17,Austin,Mercedes,BOT,HAM,2.0,7.0,-93.0,0,4.0,permanent,0
2021,17,Austin,Red Bull Racing,VER,PER,-2.0,-2.0,142.0,0,-2.5,permanent,1
2021,17,Austin,Red Bull Racing,PER,VER,2.0,2.0,-142.0,0,2.5,permanent,0
2021,17,Austin,Williams,RUS,LAT,-2.0,6.0,15.0,0,-6.5,permanent,1
2021,17,Austin,Williams,LAT,RUS,2.0,-6.0,-15.0,0,6.5,permanent,0
2021,18,Mexico City,Alfa Romeo Racing,RAI,GIO,-2.0,-1.0,5.0,0,-3.0,permanent,1
2021,18,Mexico City,Alfa Romeo Racing,GIO,RAI,2.0,1.0,-5.0,0,3.0,permanent,0
2021,18,Mexico City,Alpine,ALO,OCO,1.0,-7.0,2.0,0,-1.666666666666666,permanent,1
2021,18,Mexico City,Alpine,OCO,ALO,-1.0,7.0,-2.0,0,1.666666666666666,permanent,0
2021,18,Mexico City,Ferrari,LEC,SAI,2.0,2.0,-7.0,0,-0.4166666666666665,permanent,1
2021,18,Mexico City,Ferrari,SAI,LEC,-2.0,-2.0,7.0,0,0.4166666666666665,permanent,0
2021,18,Mexico City,McLaren,NOR,RIC,3.0,11.0,44.0,0,-5.0,permanent,1
2021,18,Mexico City,McLaren,RIC,NOR,-3.0,-11.0,-44.0,0,5.0,permanent,0
2021,18,Mexico City,Red Bull Racing,VER,PER,-1.0,-1.0,152.0,0,-0.25,permanent,1
2021,18,Mexico City,Red Bull Racing,PER,VER,1.0,1.0,-152.0,0,0.25,permanent,0
2021,20,Lusail,Alfa Romeo Racing,RAI,GIO,-2.0,-2.0,9.0,0,-1.0,permanent,1
2021,20,Lusail,Alfa Romeo Racing,GIO,RAI,2.0,2.0,-9.0,0,1.0,permanent,0
2021,20,Lusail,AlphaTauri,GAS,TSU,-4.0,-6.0,70.0,0,-2.0,permanent,1
2021,20,Lusail,AlphaTauri,TSU,GAS,4.0,6.0,-70.0,0,2.0,permanent,0
2021,20,Lusail,Alpine,ALO,OCO,-4.0,-6.0,4.0,0,-2.0,permanent,1
2021,20,Lusail,Alpine,OCO,ALO,4.0,6.0,-4.0,0,2.0,permanent,0
2021,20,Lusail,Aston Martin,STR,VET,2.0,2.0,-31.0,0,-4.0,permanent,1
2021,20,Lusail,Aston Martin,VET,STR,-2.0,-2.0,31.0,0,4.0,permanent,0
2021,20,Lusail,Ferrari,SAI,LEC,-6.0,-8.0,5.0,0,-1.0,permanent,1
2021,20,Lusail,Ferrari,LEC,SAI,6.0,8.0,-5.0,0,1.0,permanent,0
2021,20,Lusail,McLaren,NOR,RIC,-8.0,-10.0,45.0,0,-3.0,permanent,1
2021,20,Lusail,McLaren,RIC,NOR,8.0,10.0,-45.0,0,3.0,permanent,0
2021,20,Lusail,Red Bull Racing,VER,PER,-9.0,-4.0,162.0,0,-2.0,permanent,1
